prob,group,measure,solver,performance
1000-405,sophisticated-lkh,PAR10,ann_1_nng,20.8983
1000-405,sophisticated-lkh,PQR10,ann_1_nng,14.808
1000-409,sophisticated-lkh,PAR10,ann_1_nng,22.0703
1000-409,sophisticated-lkh,PQR10,ann_1_nng,15.409
1000-412,sophisticated-lkh,PAR10,ann_1_nng,14.3577
1000-412,sophisticated-lkh,PQR10,ann_1_nng,8.5575
1000-415,sophisticated-lkh,PAR10,ann_1_nng,2.0368
1000-415,sophisticated-lkh,PQR10,ann_1_nng,1.738
1000-428,sophisticated-lkh,PAR10,ann_1_nng,51.5255
1000-428,sophisticated-lkh,PQR10,ann_1_nng,36.2025
1000-44,sophisticated-lkh,PAR10,ann_1_nng,20.3903
1000-44,sophisticated-lkh,PQR10,ann_1_nng,21.3335
1000-45,sophisticated-lkh,PAR10,ann_1_nng,21.7966
1000-45,sophisticated-lkh,PQR10,ann_1_nng,9.664
1000-468,sophisticated-lkh,PAR10,ann_1_nng,70.2152
1000-468,sophisticated-lkh,PQR10,ann_1_nng,47.2125
1000-469,sophisticated-lkh,PAR10,ann_1_nng,2.3636
1000-469,sophisticated-lkh,PQR10,ann_1_nng,1.564
1000-489,sophisticated-lkh,PAR10,ann_1_nng,10.7663
1000-489,sophisticated-lkh,PQR10,ann_1_nng,6.608
1000-59,sophisticated-lkh,PAR10,ann_1_nng,104.6834
1000-59,sophisticated-lkh,PQR10,ann_1_nng,64.434
1000-67,sophisticated-lkh,PAR10,ann_1_nng,2.5441
1000-67,sophisticated-lkh,PQR10,ann_1_nng,1.5115
1000-71,sophisticated-lkh,PAR10,ann_1_nng,674.2895
1000-71,sophisticated-lkh,PQR10,ann_1_nng,421.0
1000-79,sophisticated-lkh,PAR10,ann_1_nng,20.4827
1000-79,sophisticated-lkh,PQR10,ann_1_nng,12.634
1000-98,sophisticated-lkh,PAR10,ann_1_nng,6.5084
1000-98,sophisticated-lkh,PQR10,ann_1_nng,3.939
